city,lat,lon,fa-name,en-name,geo
آبادان,30.349034,48.282315,,,
آباده,31.161619,52.645117,,,
آذرشهر,37.777046,45.971525,,,
آران بيدگل,34.25919815,51.56727439,,,
آزادشهر,37.0875125,55.1725639,,,
آستارا,38.4193239,48.8715278,,,
آستانه اشرفيه,37.26497555,49.94274383,,,
آق قلا,37.04404105,54.56732526,,,
آمل,36.475296,52.352905,,,
ابهر,36.1436784,49.219963,,,
اراک,34.0865203,49.6888415,,,
اردبيل,38.4583983,47.9313001,,,
اردکان يزد,32.350248,53.8981245,,,
اروميه,37.562766,45.062342,,,
ازنا,33.4568272,49.4537204,,,
استهبان,29.1252321,54.0405113,,,
اسدآباد,31.6670247,60.046165,,,
اسفراين,37.0750975,57.5096169,,,
اسلام آبادغرب,34.2932164,46.9395514,,,
اشتهارد,35.7234469,50.3670608,,,
اصفهان,32.6707877,51.6650002,,,
اقليد,30.8925778,52.688496,,,
الشتر,33.8627885,48.2619601,,,
اليگودرز,33.4035124,49.6921874,,,
املش,37.0961905,50.1844452,,,
انديمشک,32.458325,48.3521137,,,
اهواز,31.3229936,48.6793316,,,
اوز,27.7625325,54.0051497,,,
ايرانشهر,27.2069903,60.6882515,,,
ايلام,33.1545696,46.7576343,,,
بابل,36.542784,52.681554,,,
بابلسر,36.7008777,52.6481047,,,
بانه,35.9946631,45.8843225,,,
بجنورد,37.4759752,57.3319881,,,
برازجان,29.2661428,51.2120597,,,
بردسكن,35.2611338,57.9685311,,,
بروجرد,33.8943281,48.7560936,,,
بستک,27.1977195,54.362564,,,
بم,29.097007,58.348462,,,
بناب,38.428347,45.9086682,,,
بندر امام خميني,30.4327909,49.0794798,,,
بندر انزلي,37.471135,49.477071,,,
بندر ترکمن,36.8929175,54.0697204,,,
بندر ديلم,30.0529363,50.162503,,,
بندر کياشهر,37.41991,49.94271088,,,
بندرعباس,27.1793466,56.2781423,بندرعباس,Bandar-Abbas,27.189012, 56.287565
بندرگز,36.7719958,53.9481369,بندرگز,Bandar-e Gaz,36.776825, 53.947846
بهبهان,30.59633,50.237252,بهبهان,Behbahan,30.597067, 50.235708
بهشهر,36.6911785,53.543415,بهشهر,Behshahr,36.699099, 53.541986
بوئين زهرا,35.7679957,50.0579667,بوئين زهرا,Buin Zahra,35.766390, 50.052987
بوشهر,28.8936645,51.3204877,بوشهر,Bushehr,28.915050, 50.828191
بوکان,36.5215096,46.2111837,بوکان,Bukan,36.518673, 46.209228
بيجار,35.8720805,47.5999996,بيجار,Bijar,35.872420, 47.602484
بيرجند,32.8633961,59.2177294,بيرجند,Birjand,32.873220, 59.216608
پارسيان,27.2082174,53.0351431,پارسيان,Parsian,27.172193, 53.084837
پيرانشهر,36.6994559,45.140337,پيرانشهر,Piranshahr,36.693045, 45.143824
تاکستان,36.0726006,49.6937027,تاکستان,Takestan,36.067282, 49.696083
تالش (هشتپر),37.7974981,48.904184,تالش (هشتپر),Talesh (Hashtpar),37.793241, 48.904301
تبريز,38.078092,46.279024,تبريز,Tabriz,38.079178, 46.288717
تربت حيدريه,35.2740853,59.2194494,تربت حيدريه,Torbat-e Heydarieh,35.287229, 59.221725
تنکابن,36.8154324,50.8787003,تنکابن,Tonekabon,36.815447, 50.871051
جلفا,38.9376054,45.6252101,جلفا,Jolfa,38.930771, 45.628859
جم,27.816768,52.352894,جم,Jam,27.812290, 52.350612
جهرم,28.4961762,53.5593366,جهرم,Jahrom,28.517738, 53.574361
جويبار,36.643188,52.90427,جويبار,Juybar,36.639429, 52.903820
جيرفت,28.677494,57.740458,جيرفت,Jiroft,28.679761, 57.744492
چابکسر,36.9743391,50.57079,چابکسر,Chaboksar,36.976156, 50.560163
